Storm type,Date_Time,Year,Latitude,Longitude,State,TYPE2
hail,29/04/1980 14:00,1980,-33.8834,150.35,NSW,hail
hail,15/12/1980 14:00,1980,-28.5,153.3,NSW,hail
hail,10/10/1981 14:00,1981,-33.4833,150.1667,NSW,hail
hail,18/12/1981 14:00,1981,-33.8834,151.2167,NSW,hail
hail,6/01/1982 14:00,1982,-30.6333,151.5,NSW,hail
hail,6/01/1982 14:00,1982,-33.0833,151.6333,NSW,hail
hail,31/01/1982 4:00,1982,-33.7167,150.3167,NSW,hail
hail,31/01/1982 4:16,1982,-32.1667,150.8834,NSW,hail
hail,11/12/1982 14:00,1982,-29.7333,151.7333,NSW,hail
hail,2/02/1983 14:00,1983,-33.7167,150.3167,NSW,hail
hail,14/02/1983 14:00,1983,-32.15,150.35,NSW,hail
hail,16/02/1983 14:00,1983,-32.4,149.8834,NSW,hail
hail,28/08/1983 14:00,1983,-33.8834,151.2167,NSW,hail
hail,15/09/1983 10:00,1983,-35,146,NSW,hail
hail,29/09/1983 5:00,1983,-33.8834,151,NSW,hail
hail,3/10/1983 5:00,1983,-33.95,149.5333,NSW,hail
hail,9/12/1983 14:00,1983,-33.7,150.5667,NSW,hail
hail,10/12/1983 4:30,1983,-30.5167,151.6667,NSW,hail
hail,1/01/1984 14:00,1984,-33.8834,151.2167,NSW,hail
hail,8/01/1984 4:00,1984,-33.5,151,NSW,hail
hail,8/11/1984 14:00,1984,-33.8667,151.2,NSW,hail
hail,10/12/1984 14:00,1984,-34.3167,148.3,NSW,hail
hail,10/12/1984 14:00,1984,-33.2833,149.1,NSW,hail
hail,26/12/1984 5:00,1984,-31.45,152.9167,NSW,hail
hail,16/10/1985 14:00,1985,-34.4333,150.8834,NSW,hail
hail,26/11/1985 14:00,1985,-33.8834,151.2167,NSW,hail
hail,4/12/1985 14:00,1985,-37.2667,150.05,NSW,hail
hail,13/12/1985 14:00,1985,-30.5167,151.6667,NSW,hail
hail,15/12/1985 14:00,1985,-34,151,NSW,hail
hail,31/12/1985 14:00,1985,-34.05,150.7,NSW,hail
hail,21/01/1986 14:00,1986,-33.2833,149.1,NSW,hail
hail,5/02/1986 4:00,1986,-33.8834,151,NSW,hail
hail,5/02/1986 14:00,1986,-33.8667,151.2,NSW,hail
hail,22/02/1986 10:30,1986,-32.8334,151.35,NSW,hail
hail,25/02/1986 3:30,1986,-33.4167,149.5833,NSW,hail
hail,3/08/1986 18:30,1986,-33.5667,150.6667,NSW,hail
hail,3/10/1986 2:00,1986,-33.8834,151.2167,NSW,hail
hail,8/10/1986 14:00,1986,-30,150.5,NSW,hail
hail,18/11/1986 0:00,1986,-34.85,148.9167,NSW,hail
hail,4/01/1987 5:00,1987,-33.8834,151.2167,NSW,hail
hail,9/11/1987 11:00,1987,-32.25,148.6167,NSW,hail
hail,20/11/1987 3:30,1987,-31,150.9334,NSW,hail
hail,9/12/1987 14:00,1987,-33.8334,150.9834,NSW,hail
hail,19/01/1988 7:00,1988,-33.2833,149.1,NSW,hail
hail,19/01/1988 7:30,1988,-31.0833,150.9334,NSW,hail
hail,21/01/1988 3:30,1988,-34,151,NSW,hail
hail,30/01/1988 14:00,1988,-32.1667,151.5833,NSW,hail
hail,15/06/1988 6:30,1988,-33.6833,151.3,NSW,hail
hail,27/09/1988 7:00,1988,-30.3333,149.7833,NSW,hail
hail,20/11/1988 14:00,1988,-34,150.6,NSW,hail
hail,21/11/1988 4:00,1988,-32.9334,151.7667,NSW,hail
hail,21/11/1988 5:00,1988,-29.4667,150,NSW,hail
hail,21/11/1988 7:30,1988,-33.85,150.9334,NSW,hail
hail,23/11/1988 2:50,1988,-34.4833,150.4167,NSW,hail
hail,24/11/1988 3:00,1988,-29.1167,153.4333,NSW,hail
hail,24/11/1988 4:30,1988,-28.2667,153.55,NSW,hail
hail,25/11/1988 14:00,1988,-34.0333,150.7,NSW,hail
hail,26/11/1988 7:00,1988,-28.8667,153.05,NSW,hail
hail,31/01/1989 5:45,1989,-28.7333,152.6167,NSW,hail
hail,9/03/1989 7:00,1989,-33.8667,151.2,NSW,hail
hail,12/03/1989 4:00,1989,-33.7333,150.45,NSW,hail
hail,12/03/1989 4:00,1989,-33.75,150.7,NSW,hail
hail,12/03/1989 6:00,1989,-35.2833,149.1333,NSW,hail
hail,16/10/1989 4:50,1989,-29.5667,151.15,NSW,hail
hail,16/10/1989 5:00,1989,-30.6667,151.6667,NSW,hail
hail,17/10/1989 4:15,1989,-30.1667,151.0667,NSW,hail
hail,23/10/1989 8:00,1989,-29.1167,150.4833,NSW,hail
hail,3/11/1989 4:20,1989,-30.3833,150.6167,NSW,hail
hail,5/11/1989 14:00,1989,-29.15,150.3,NSW,hail
hail,6/11/1989 4:30,1989,-32.75,151.1,NSW,hail
hail,6/11/1989 6:45,1989,-29.8,151.2833,NSW,hail
hail,17/11/1989 5:20,1989,-33.8834,151.2167,NSW,hail
hail,17/11/1989 6:30,1989,-32.8167,151.8333,NSW,hail
hail,21/12/1989 5:14,1989,-30.4,152.35,NSW,hail
hail,22/12/1989 8:15,1989,-29.7333,151.7333,NSW,hail
hail,26/12/1989 6:30,1989,-29.65,151.2167,NSW,hail
hail,26/12/1989 7:00,1989,-29.7333,150.95,NSW,hail
hail,26/12/1989 7:10,1989,-29.6833,150.9334,NSW,hail
hail,26/12/1989 8:15,1989,-29.65,151.2167,NSW,hail
hail,7/01/1990 6:00,1990,-30.5167,151.6667,NSW,hail
hail,7/01/1990 7:30,1990,-30.4667,151.3667,NSW,hail
hail,7/01/1990 8:15,1990,-30.2167,151.6667,NSW,hail
hail,13/01/1990 6:00,1990,-33.7833,150.3833,NSW,hail
hail,13/01/1990 7:45,1990,-36.2333,149.1333,NSW,hail
hail,29/01/1990 7:30,1990,-29.85,151.1167,NSW,hail
hail,7/02/1990 6:30,1990,-33.0333,149.4167,NSW,hail
hail,7/02/1990 9:45,1990,-32.25,148.6167,NSW,hail
hail,8/02/1990 6:00,1990,-34.5167,148.9,NSW,hail
hail,8/02/1990 6:00,1990,-33.4167,148.8167,NSW,hail
hail,8/02/1990 14:00,1990,-35.5333,148.15,NSW,hail
hail,9/02/1990 2:40,1990,-33.0833,149.6833,NSW,hail
hail,9/02/1990 9:30,1990,-30.9834,151.5833,NSW,hail
hail,10/02/1990 3:00,1990,-30.3,153.1333,NSW,hail
hail,10/02/1990 3:00,1990,-33.7667,151.0167,NSW,hail
hail,13/02/1990 5:00,1990,-29.3167,151.1,NSW,hail
hail,13/02/1990 7:40,1990,-29.6833,152.9334,NSW,hail
hail,5/03/1990 5:30,1990,-34.05,150.7,NSW,hail
hail,6/03/1990 4:00,1990,-34.55,150.3833,NSW,hail
hail,6/03/1990 4:15,1990,-33.5833,150.8667,NSW,hail
hail,6/03/1990 4:30,1990,-33.6,150.75,NSW,hail
hail,6/03/1990 5:25,1990,-33.6167,150.8167,NSW,hail
hail,6/03/1990 5:40,1990,-33.3,151.2333,NSW,hail
hail,6/03/1990 7:05,1990,-33.3167,151.2333,NSW,hail
hail,6/03/1990 8:00,1990,-32.7667,152.1667,NSW,hail
hail,6/03/1990 14:00,1990,-28.55,153.5,NSW,hail
hail,7/03/1990 2:50,1990,-28.4,153.1833,NSW,hail
hail,7/03/1990 4:10,1990,-28.8667,153.05,NSW,hail
hail,7/03/1990 5:00,1990,-28.6667,153.2833,NSW,hail
hail,7/03/1990 14:00,1990,-28.9834,152.85,NSW,hail
hail,18/03/1990 5:00,1990,-33.8667,151.2,NSW,hail
hail,23/07/1990 18:00,1990,-34.05,150.8333,NSW,hail
hail,21/09/1990 14:00,1990,-29.55,152.1333,NSW,hail
hail,9/10/1990 4:15,1990,-31.0833,150.9334,NSW,hail
hail,9/10/1990 5:00,1990,-28.9,150.7667,NSW,hail
hail,11/10/1990 4:15,1990,-33.35,151.5,NSW,hail
hail,11/10/1990 5:00,1990,-33.8667,151.2,NSW,hail
hail,11/10/1990 6:45,1990,-31.0833,152.8333,NSW,hail
hail,15/10/1990 16:22,1990,-30.2167,151.6667,NSW,hail
hail,21/10/1990 6:51,1990,-35.1167,147.3667,NSW,hail
hail,1/11/1990 6:00,1990,-33.8667,151.2,NSW,hail
hail,3/11/1990 8:15,1990,-34.8834,150.6,NSW,hail
hail,3/11/1990 14:40,1990,-33.7667,148.65,NSW,hail
hail,4/11/1990 3:00,1990,-29.5333,150.5833,NSW,hail
hail,4/11/1990 6:00,1990,-30.0667,151.9,NSW,hail
hail,9/11/1990 4:55,1990,-33.8667,151.2,NSW,hail
hail,28/11/1990 14:00,1990,-32.4,151.75,NSW,hail
hail,10/12/1990 1:35,1990,-33.0333,151.6667,NSW,hail
hail,10/12/1990 1:55,1990,-32.9334,151.7667,NSW,hail
hail,10/12/1990 6:00,1990,-34.6667,150.8834,NSW,hail
hail,10/12/1990 7:33,1990,-34.4333,150.8834,NSW,hail
hail,10/12/1990 9:40,1990,-33.8667,151.2,NSW,hail
hail,16/12/1990 6:00,1990,-34.5833,150.6167,NSW,hail
hail,16/12/1990 6:00,1990,-34.5,150.7833,NSW,hail
hail,16/12/1990 7:15,1990,-34.5,150.7833,NSW,hail
hail,22/12/1990 6:30,1990,-28.7333,152.6167,NSW,hail
hail,11/01/1991 2:45,1991,-33.4833,150.1667,NSW,hail
hail,16/01/1991 4:30,1991,-30.75,150.7167,NSW,hail
hail,19/01/1991 7:00,1991,-30.7,150.05,NSW,hail
hail,20/01/1991 3:10,1991,-33.6,150.75,NSW,hail
hail,20/01/1991 5:00,1991,-31.8667,152.3667,NSW,hail
hail,20/01/1991 14:00,1991,-33.6833,150.2833,NSW,hail
hail,21/01/1991 1:30,1991,-35.2167,147.5167,NSW,hail
hail,21/01/1991 4:45,1991,-33.667,151.183,NSW,hail
hail,21/01/1991 5:15,1991,-33.917,151.567,NSW,hail
hail,21/01/1991 5:45,1991,-33.733,151.133,NSW,hail
hail,21/01/1991 5:45,1991,-33.733,151.1,NSW,hail
hail,21/01/1991 6:00,1991,-33.567,151.317,NSW,hail
hail,23/01/1991 14:00,1991,-34.8667,147.5833,NSW,hail
hail,12/02/1991 3:50,1991,-31.2667,149.0667,NSW,hail
hail,11/03/1991 5:10,1991,-33.9334,150.95,NSW,hail
hail,15/03/1991 4:50,1991,-32.2333,148.25,NSW,hail
hail,15/03/1991 7:45,1991,-36.2333,149.1333,NSW,hail
hail,20/03/1991 8:00,1991,-32.0167,151.9667,NSW,hail
hail,26/09/1991 5:15,1991,-33.6667,151.3167,NSW,hail
hail,25/10/1991 2:00,1991,-33.2833,151.4333,NSW,hail
hail,31/10/1991 6:30,1991,-28.9834,149,NSW,hail
hail,8/11/1991 7:00,1991,-35.2667,150.5,NSW,hail
hail,20/11/1991 3:45,1991,-33.7333,151.2333,NSW,hail
hail,29/11/1991 3:00,1991,-33.7667,151.3167,NSW,hail
hail,30/11/1991 5:00,1991,-28.25,153.6,NSW,hail
hail,18/12/1991 6:25,1991,-29.2833,152.9834,NSW,hail
hail,20/12/1991 7:00,1991,-32.1667,151.5833,NSW,hail
hail,21/12/1991 0:15,1991,-29.9334,151.7333,NSW,hail
hail,21/12/1991 1:30,1991,-29.7667,151.2333,NSW,hail
hail,21/12/1991 4:05,1991,-28.3667,153.2,NSW,hail
hail,21/12/1991 4:25,1991,-32.8,149.0833,NSW,hail
hail,21/12/1991 14:00,1991,-28.2667,153.6,NSW,hail
hail,28/12/1991 14:00,1991,-29.5667,151.8667,NSW,hail
hail,29/12/1991 14:00,1991,-29.3167,151.1,NSW,hail
hail,30/12/1991 12:40,1991,-29.4667,149.85,NSW,hail
hail,3/01/1992 8:00,1992,-33.7,150.5667,NSW,hail
hail,3/01/1992 8:14,1992,-33.6167,150.8167,NSW,hail
hail,4/01/1992 6:45,1992,-28.25,153.6,NSW,hail
hail,7/01/1992 14:00,1992,-29.5833,152.7333,NSW,hail
hail,7/01/1992 14:00,1992,-29.4667,153.2,NSW,hail
hail,21/01/1992 8:30,1992,-31.2667,149.2833,NSW,hail
hail,22/01/1992 7:00,1992,-30.65,151.5,NSW,hail
hail,12/02/1992 6:44,1992,-33.8,150.95,NSW,hail
hail,22/02/1992 4:15,1992,-33.6,151.2167,NSW,hail
hail,22/02/1992 9:00,1992,-30.65,151.5,NSW,hail
hail,3/03/1992 14:00,1992,-32.25,148.6167,NSW,hail
hail,22/03/1992 5:00,1992,-30.1667,151.0667,NSW,hail
